Date,Paradise (679) Precipitation Accumulation (in) Start of Day Values,Paradise (679) Precipitation Increment (in),Paradise (679) Precipitation Increment - Snow-adj (in),Paradise (679) Air Temperature Average (degF),Paradise (679) Air Temperature Minimum (degF),Paradise (679) Air Temperature Maximum (degF),Paradise (679) Soil Moisture Percent -2in (pct) Start of Day Values,Paradise (679) Soil Moisture Percent -4in (pct) Start of Day Values,Paradise (679) Soil Moisture Percent -8in (pct) Start of Day Values,Paradise (679) Soil Moisture Percent -20in (pct) Start of Day Values,Paradise (679) Snow Density (pct) Start of Day Values,Paradise (679) Snow Water Equivalent (in) Start of Day Values,Paradise (679) Snow Depth (in) Start of Day Values,Paradise (679) Snow Rain Ratio (unitless),Paradise (679) Real Dielectric Constant -2in (unitless) Start of Day Values
1/24/12,47.4,2.3,2.3,31,24,37,31.5,31.3,37.1,36,35.8,38,106,100,
1/25/12,49.7,0.9,0.9,29,26,33,31.5,31.1,37.2,36,38.4,40.3,105,100,
1/26/12,50.6,0.5,0.5,24,19,33,32.1,31.5,37.4,36.3,37.8,41.2,109,100,
1/27/12,51.1,0,0,22,16,34,31.8,31.5,37.3,36.3,39.3,41.7,106,,
1/28/12,51.1,0.1,0.1,30,20,39,31.9,31.3,37.2,36.3,40.1,41.7,104,100,
1/29/12,51.2,2.7,2.7,35,30,39,31.9,31.3,37.1,36,39.4,41.8,106,93,
1/30/12,53.9,0.3,0.3,30,27,37,32,31.8,37.3,36.2,39.2,44.3,113,100,
1/31/12,54.2,0.3,0.3,31,27,36,32.3,31.8,37.4,36.3,39.5,44.6,113,100,
2/1/12,54.5,0.7,0.7,29,24,33,32.1,31.6,37.4,36.2,40.1,44.9,112,100,
2/2/12,55.2,0,0,32,23,43,32.2,31.5,37.2,36.3,40.4,45.6,113,,
2/3/12,55.2,0,0,35,29,42,32.1,31.5,37.2,36.3,40.4,45.6,113,,
2/4/12,55.2,0,0,33,30,38,32,31.3,37.1,36.2,41.1,45.6,111,,
2/5/12,55.2,0,0,35,29,43,31.9,30.9,37.2,36.1,40.6,45.5,112,,
2/6/12,55.2,0,0.1,35,31,39,31.7,31,37.1,36.2,40.9,45.4,111,,
2/7/12,55.2,0.2,0.2,33,28,37,31.5,31,37.1,36,41,45.5,111,50,
2/8/12,55.4,0.4,0.6,35,31,36,31.8,30.6,37.1,36.1,41.5,45.6,110,150,
2/9/12,55.8,0.6,0.7,38,35,43,31.5,30.5,37,36.1,40.9,46.2,113,117,
2/10/12,56.4,0.2,0.2,38,34,45,31.3,30.7,36.9,35.8,43,46.9,109,0,
2/11/12,56.6,0.2,0.3,31,27,34,31.6,30.8,37.1,36,43.8,46.9,107,150,
2/12/12,56.8,0.2,0.2,29,25,36,31.9,31,37.1,36.1,44.1,47.2,107,50,
2/13/12,57,0.1,0.1,28,24,35,31.8,31.1,37.1,36,45,47.3,105,0,
2/14/12,57.1,0.1,0.1,25,18,34,31.8,30.9,37.1,36.2,44.6,47.3,106,0,
2/15/12,57.2,0.1,0.1,25,17,35,31.8,30.9,37,36.1,44.6,47.3,106,0,
2/16/12,57.3,0.3,0.4,32,28,34,31.7,30.7,37.1,35.9,45.5,47.3,104,133,
2/17/12,57.6,0.8,0.8,32,26,37,31.8,30.9,37,36.1,44.2,47.7,108,100,
2/18/12,58.4,2.9,2.9,26,24,26,31.7,30.8,37,35.9,43.7,48.5,111,100,
2/19/12,61.3,0,0,22,20,26,31.8,30.7,36.9,35.7,41.1,51.4,125,,
2/20/12,61.3,1.2,1.2,30,22,33,31.6,30.5,36.9,35.8,41.5,51.4,124,100,
2/21/12,62.5,6.2,6.2,33,32,34,31.7,30.5,36.8,35.9,41.4,52.6,127,100,
2/22/12,68.7,1.2,1.4,29,24,34,31.4,30.3,36.8,36,43.9,58.8,134,117,
2/23/12,69.9,0,0,25,23,31,31.5,30.6,36.9,35.8,42.7,60.2,141,,
2/24/12,69.9,0.9,0.9,30,24,35,31.5,30.5,36.9,35.9,43.2,60,139,100,
2/25/12,70.8,1.6,1.6,22,19,27,31.8,30.5,36.9,35.9,42.3,60.9,144,100,
2/26/12,72.4,0.1,0.2,20,15,29,31.4,30.4,36.9,35.9,40.3,62.5,155,200,
2/27/12,72.5,0,0,20,15,36,31.7,30.4,36.9,35.8,41.8,62.7,150,,
2/28/12,72.5,0.4,0.4,22,16,29,31.6,30.4,36.9,35.8,42.3,62.6,148,100,
2/29/12,72.9,1.5,1.5,22,19,25,31.6,30.2,36.9,35.8,42.6,63,148,100,
3/1/12,74.4,0.2,0.2,23,19,33,31.5,30,36.9,35.9,39.3,64.5,164,100,
3/2/12,74.6,0.8,0.8,28,21,33,31.7,30.2,36.8,35.7,39.7,64.7,163,100,
3/3/12,75.4,0.2,0.2,34,32,36,31.6,29.7,36.9,35.9,40.2,65.5,163,100,
3/4/12,75.6,0,0,34,29,41,31.4,29.9,36.9,35.9,41.8,65.7,157,,
3/5/12,75.6,0.4,0.6,27,17,35,31.4,29.8,36.7,35.7,42.5,65.5,154,150,
3/6/12,76,0,0,20,14,29,31.3,29.6,36.7,35.9,41.3,66.1,160,,
3/7/12,76,0.1,0.1,26,13,38,31.3,29.8,36.7,35.8,42.1,66.1,157,100,
3/8/12,76.1,0,0,41,33,54,31.4,29.6,36.6,35.8,42.4,66.2,156,,
3/9/12,76.1,0.1,0.1,40,33,48,31.5,29.6,36.7,35.7,43.3,66.2,153,100,
3/10/12,76.2,0.7,0.7,32,30,36,31.4,29.7,36.6,35.7,43.9,66.3,151,100,
3/11/12,76.9,0.7,0.7,26,21,32,31.4,29.4,36.7,35.7,42.4,67,158,100,
3/12/12,77.6,1.8,1.8,28,23,32,31.1,29.4,36.6,35.8,41.3,67.7,164,100,
3/13/12,79.4,0.5,0.5,21,17,26,31.4,29.4,36.6,35.5,40.6,69.5,171,100,
3/14/12,79.9,1.3,1.3,27,18,33,31.5,29.4,36.5,35.6,40.5,70,173,100,
3/15/12,81.2,1.7,1.7,33,29,35,31.3,29.4,36.5,35.7,39.6,71.3,180,100,
3/16/12,82.9,0,0,29,25,39,31.2,29,36.7,35.7,40.1,73,182,,
3/17/12,82.9,0.6,0.7,26,19,37,31.1,29.1,36.6,35.7,40.7,72.9,179,117,
3/18/12,83.5,0.4,0.4,24,18,33,31.4,29.1,36.6,35.7,40.2,73.6,183,100,
3/19/12,83.9,0.4,0.4,23,13,34,31.1,29.1,36.6,35.6,40.7,74,182,100,
3/20/12,84.3,1.8,1.8,26,23,30,31.2,29.2,36.6,35.8,41.3,74.4,180,100,
3/21/12,86.1,0.6,0.6,24,20,28,31.3,29,36.5,35.7,39.9,76.2,191,100,
3/22/12,86.7,0.1,0.1,26,17,35,31.4,29.1,36.5,35.7,40.6,76.8,189,100,
3/23/12,86.8,0,0,27,16,41,,,,35.9,41.1,76.9,187,,
3/24/12,86.8,0,0,34,27,46,31.1,28.9,36.4,35.8,41.8,76.9,184,,
3/25/12,86.8,0,0,36,32,44,31.2,28.7,36.4,35.8,42.6,76.7,180,,
3/26/12,86.8,0,0.5,31,28,38,31,28.7,36.4,35.7,42.8,76.2,178,,
3/27/12,86.8,1,1,34,31,37,30.9,28.7,36.4,35.6,43.3,76.7,177,100,
3/28/12,87.8,0.7,0.7,30,28,33,31.1,28.6,36.3,35.7,42.9,77.7,181,100,
3/29/12,88.5,2.3,2.3,33,30,35,30.9,28.7,36.3,35.7,42.6,78.4,184,100,
3/30/12,90.8,0.5,0.5,30,25,34,31,28.4,36.4,35.4,41.4,80.7,195,100,
3/31/12,91.3,1,1,32,26,38,30.9,28.4,36.3,35.4,41.9,81.2,194,100,
4/1/12,92.3,0.8,0.8,27,23,32,31.1,28.5,36.3,35.7,41.7,82.2,197,100,
4/2/12,93.1,0,0,34,23,47,31.1,28.4,36.4,35.7,40.9,83,203,,
4/3/12,93.1,0.4,0.4,33,26,42,31,28.3,36.2,35.7,42.3,83,196,100,
4/4/12,93.5,0,0,28,23,38,31,28.5,36.3,35.8,42.8,83.4,195,,
4/5/12,93.5,0.3,0.3,26,22,36,31.1,28.3,36.2,35.4,43.2,83.4,193,100,
4/6/12,93.8,0.2,0.2,26,20,37,30.9,28.3,36.4,35.6,42.9,83.7,195,100,
4/7/12,94,0.1,0.1,30,17,42,31.1,28.2,36.3,35.8,43.7,83.9,192,100,
4/8/12,94.1,0.1,0.1,38,32,46,31.1,28.1,36.4,35.7,44,84,191,100,
4/9/12,94.2,0,0,45,39,55,30.9,28.1,36.2,35.5,44.7,84.1,188,,
4/10/12,94.2,0,0,45,35,56,30.8,28.2,36.1,35.5,44.5,82.3,185,,
4/11/12,94.2,0.1,0.3,35,32,45,30.8,28,36.2,35.5,45.5,82.3,181,300,
4/12/12,94.3,0,0,33,26,43,31,27.9,36.3,35.7,45.9,82.6,180,,
4/13/12,94.3,0,0,34,25,48,31,28.2,36.2,35.6,45.8,82,179,,
4/14/12,94.3,0,0,35,26,47,31.2,28.1,36.3,35.8,45.8,81.5,178,,
4/15/12,94.3,0.1,0.8,37,27,49,31.3,28.1,36.4,35.7,46.1,81.2,176,800,
4/16/12,94.4,0.9,2.1,34,28,40,31.1,28.3,36.2,35.6,46.9,82,175,233,
4/17/12,95.3,0,0,31,22,39,31.1,28.4,36.3,35.7,48.6,84.1,173,,
4/18/12,95.3,0.1,0.1,33,31,40,31.2,28.4,36.3,35.7,47.5,82.2,173,0,
4/19/12,95.4,2.4,2.9,36,26,41,31.4,28.7,36.4,35.7,47.1,81.5,173,121,
4/20/12,97.8,0.2,0.2,36,34,40,31.7,28.8,36.5,35.8,49.1,84.4,172,0,
4/21/12,98,0.2,0.2,46,34,60,33.1,29.6,36.8,35.9,48.3,82.6,171,0,
4/22/12,98.2,0.1,0.7,56,46,68,33.4,30,37.1,36.2,48.4,81.3,168,700,
4/23/12,98.3,0,0,54,46,67,33.8,30.4,37,36.2,49.7,82,165,,
4/24/12,98.3,0.1,0.1,42,38,47,35,31.1,37.3,36.2,50.4,81.2,161,0,
4/25/12,98.4,0.4,0.4,41,38,45,35.3,31.5,37.5,36.4,50.3,80.5,160,0,
4/26/12,98.8,0.7,0.7,33,28,39,35.5,31.8,37.5,36.4,50.9,80.4,158,29,
4/27/12,99.5,0.2,0.2,32,26,41,35.6,31.9,37.5,36.5,50.1,80.6,161,0,
4/28/12,99.7,0,0,37,32,46,35.4,31.6,37.4,36.4,50.4,80.1,159,,
4/29/12,99.7,0.1,0.2,39,34,49,34.9,31.3,37.4,36.3,50.7,79.6,157,200,
4/30/12,99.8,1.1,1.6,33,28,36,34.5,31.1,37.3,36.3,51.2,79.8,156,145,
5/1/12,100.9,0.5,0.5,30,27,38,35,31.3,37.3,36.3,50.6,81.4,161,20,
5/2/12,101.4,0.2,0.2,32,26,44,35.1,31.4,37.3,36.3,50.6,81.5,161,0,
5/3/12,101.6,1.1,1.3,33,31,36,34.6,31.2,37.3,36.3,50.8,81.3,160,118,
5/4/12,102.7,0.5,0.5,31,25,40,34.3,31,37.3,36.4,48.9,82.6,169,60,
5/5/12,103.2,0.2,0.2,31,26,37,34.3,30.8,37.2,36.2,49.1,82.9,169,50,
5/6/12,103.4,0.1,0.1,38,25,53,33.9,30.5,37.1,36.1,49.4,83,168,100,
5/7/12,103.5,0,0.7,48,34,61,33.9,30.3,37,36,50.4,83.1,165,,
5/8/12,103.5,0,0.5,47,35,57,33.4,30.1,37,36.1,51.7,83.8,162,,
5/9/12,103.5,0,0,31,26,40,34.5,30.7,37.2,36.1,53,84.3,159,,
5/10/12,103.5,0,0,33,24,46,36,31.5,37.3,36.4,53.2,84,158,,
5/11/12,103.5,0,0,42,31,53,35.6,31.4,37.3,36.4,53.2,83.6,157,,
5/12/12,103.5,0,0,51,42,62,35.4,31.2,37.3,36.4,53.6,83.1,155,,
5/13/12,103.5,0,0,57,45,70,36.1,31.5,37.4,36.4,54.2,83,153,,
5/14/12,103.5,0,0,60,50,74,36.7,31.9,37.5,36.6,54.9,82.9,151,,
5/15/12,103.5,0,0,52,42,62,36.8,32,37.6,36.7,55.6,82.3,148,,
5/16/12,103.5,0,0,43,35,54,36.7,32.1,37.6,36.8,56.2,81.5,145,,
5/17/12,103.5,0,0,37,31,48,36.6,31.9,37.6,36.8,56.4,80.7,143,,
5/18/12,103.5,0,0,36,30,48,36.3,31.8,37.6,36.8,56.9,80.2,141,,
5/19/12,103.5,0,0,42,31,55,36.1,31.7,37.6,36.7,57,79.8,140,,
5/20/12,103.5,0.7,0.7,43,39,47,36.2,31.7,37.6,36.7,56.9,79.1,139,0,
5/21/12,104.2,1.2,1.2,42,36,45,36.4,31.9,37.6,36.9,57.7,79.1,137,0,
5/22/12,105.4,0.6,0.6,35,33,38,36.7,32.1,37.7,37,58.2,79.1,136,0,
5/23/12,106,1,1,34,32,36,36.3,31.9,37.6,37,58.6,79.1,135,80,
5/24/12,107,0,0,36,31,45,35.9,31.6,37.5,36.7,56.7,79.9,141,,
5/25/12,107,0,0,42,33,52,35.4,31.4,37.5,36.6,56.9,79.6,140,,
5/26/12,107,0,0,44,37,55,35.2,31.1,37.4,36.6,57.2,79,138,,
5/27/12,107,0,0,41,37,50,35.8,31.5,37.5,36.8,57.9,78.7,136,,
5/28/12,107,0,0,38,33,46,36.1,31.6,37.5,36.8,58.4,78.3,134,,
5/29/12,107,0,0,37,31,49,36.1,31.6,37.6,36.9,58.9,77.7,132,,
5/30/12,107,0,0,44,34,55,36.1,31.6,37.5,37,58.9,77.1,131,,
5/31/12,107,0.7,0.7,45,42,53,36.1,31.7,37.6,36.9,59.3,76.5,129,0,
6/1/12,107.7,0.6,0.6,47,41,54,36.5,32.1,37.7,37,59.7,75.8,127,0,
6/2/12,108.3,0.1,0.1,40,35,47,36.8,32,37.7,37.2,60.5,75,124,0,
6/3/12,108.4,0,0,40,35,46,36.6,32,37.7,37.1,60.3,73.6,122,,
6/4/12,108.4,0.8,0.8,42,37,47,36.1,31.8,37.6,37,60.6,73.3,121,0,
6/5/12,109.2,0.2,0.3,34,31,39,36.5,31.9,37.7,37.1,60.6,72.7,120,150,
6/6/12,109.4,0.1,0.1,34,29,43,36.1,31.8,37.6,37,61.3,73,119,0,
6/7/12,109.5,1.1,1.1,37,33,44,35.7,31.7,37.6,36.9,61.1,72.7,119,0,
6/8/12,110.6,0.4,0.5,35,32,41,36.3,31.8,37.6,37.1,60.8,72.4,119,125,
6/9/12,111,0.6,0.6,34,32,37,36,31.7,37.6,37,61.3,72.9,119,50,
6/10/12,111.6,0.1,0.1,40,33,51,35.5,31.5,37.6,36.8,60,73.2,122,0,
6/11/12,111.7,0,0,49,38,61,35.4,31.5,37.5,36.8,60.7,72.2,119,,
6/12/12,111.7,0.3,0.3,45,38,50,36.2,31.7,37.6,37,62.1,71.4,115,0,
6/13/12,112,0,0,37,35,39,36.3,31.8,37.7,37.1,62.3,71,114,,
6/14/12,112,0,0,40,34,50,36,31.8,37.6,37,62.3,70.4,113,,
6/15/12,112,0,0,47,34,61,35.9,31.6,37.6,37,62.7,69.6,111,,
6/16/12,112,0.4,0.4,50,45,61,36.2,31.8,37.7,37,63.1,68.8,109,0,
6/17/12,112.4,0.4,0.4,43,38,47,36.4,31.9,37.6,37.2,65.3,68.6,105,0,
6/18/12,112.8,0.4,0.4,37,35,42,36.5,31.9,37.7,37.2,65.4,67.4,103,0,
6/19/12,113.2,0.1,0.1,38,34,47,36.3,31.9,37.7,37.1,65.2,66.5,102,0,
6/20/12,113.3,0,0,49,36,61,35.9,31.8,37.6,37,65.4,66.1,101,,
6/21/12,113.3,0.1,0.1,54,47,64,36.3,31.9,37.7,37.1,65.6,64.9,99,0,
6/22/12,113.4,0.8,0.8,45,40,50,36.6,31.9,37.7,37.2,66.8,63.5,95,0,
6/23/12,114.2,0.3,0.3,40,35,46,36.4,31.9,37.7,37.2,67.3,63.3,94,0,
6/24/12,114.5,0,0,41,34,51,36.2,31.8,37.7,37.2,67,62.3,93,,
6/25/12,114.5,0.1,0.1,44,38,53,36,31.8,37.6,37,67.8,61.7,91,0,
6/26/12,114.6,0,0,38,36,43,35.9,31.7,37.6,37,67.9,61.1,90,,
6/27/12,114.6,0,0,48,34,59,35.8,31.6,37.5,37,68.5,60.3,88,,
6/28/12,114.6,0.1,0.1,52,44,62,36.1,31.7,37.6,37.1,69.6,59.2,85,0,
6/29/12,114.7,0,0,49,43,59,36.3,31.8,37.6,37.1,70.2,58.3,83,,
6/30/12,114.7,0.3,0.3,49,46,58,36.3,32,37.7,37.2,70.2,56.9,81,0,
7/1/12,115,0,0,46,38,53,36.6,32,37.7,37.2,71.5,55.8,78,,
7/2/12,115,0,0,45,38,54,36.5,31.9,37.7,37.2,71.6,54.4,76,,
7/3/12,115,0.7,0.7,39,36,42,36.4,32,37.7,37.1,73.4,53.6,73,0,
7/4/12,115.7,0.1,0.1,45,34,57,36.5,31.9,37.7,37.2,73.1,52.6,72,0,
7/5/12,115.8,0,0,52,42,64,36.7,32.1,37.7,37.2,74.9,51.7,69,,
7/6/12,115.8,0,0,58,49,69,37.4,32.2,37.8,37.2,76.2,50.3,66,,
7/7/12,115.8,0,0,64,55,75,39,32.3,37.8,37.3,78.5,48.7,62,,
7/8/12,115.8,0,0,67,58,79,39.4,32.5,37.8,37.3,80,46.4,58,,
7/9/12,115.8,0,0,63,52,74,40,32.8,37.8,37.4,81.3,43.9,54,,
7/10/12,115.8,0,0,57,46,68,39.8,32.9,37.9,37.5,85.4,41,48,,
7/11/12,115.8,0,0,60,52,70,40,33,37.9,37.5,87.1,39.2,45,,
7/12/12,115.8,0,0,58,50,68,40.2,33.4,38,37.6,89,37.4,42,,
7/13/12,115.8,0,0,55,48,65,40.3,34.2,38,37.6,95.7,35.4,37,,
7/14/12,115.8,0.1,0.1,59,52,71,39.8,37.9,38.6,37.7,98.2,33.4,34,0,
7/15/12,115.9,0,0,48,43,54,39.8,38,39,38,,31.3,30,,
7/16/12,115.9,0,0,55,43,66,39.3,37.3,38.8,38.1,,29.4,27,,
7/17/12,115.9,0,0,60,53,70,39,38,39.2,38.7,,27.7,25,,
7/18/12,115.9,0,0,55,50,64,38.4,37.4,38.9,38.5,,25.1,21,,
7/19/12,115.9,0,0,63,48,75,37,35.8,38.4,37.9,,22.4,15,,
7/20/12,115.9,0.7,0.7,49,46,55,35.7,34.2,38,37.5,,20.4,10,0,
7/21/12,116.6,0,0,51,45,62,36.6,34.5,38,37.4,,18.7,8,,
7/22/12,116.6,0,0,46,37,53,35.1,32.7,37.5,37,,16.4,5,,
7/23/12,116.6,0.1,0.1,42,37,47,34.2,31.6,37.1,36.7,,14.9,4,0,
7/24/12,116.7,0,0,56,44,64,33.7,31.1,36.9,36.3,,14,2,,
7/25/12,116.7,0,0,61,54,72,32.9,30.2,36.5,36.2,,11.8,0,,
7/26/12,116.7,0,0,60,50,72,31.9,29.4,36,36.1,,9.2,0,,
7/27/12,116.7,0,0,51,45,60,30.5,28.3,35.5,35.9,,5.6,0,,
7/28/12,116.7,0,0,50,43,62,29.9,27.8,35.5,35.8,,0,0,,
7/29/12,116.7,0,0,51,43,61,29.1,27,35.2,35.6,,0,0,,
7/30/12,116.7,0,0,49,45,59,28.3,26.3,34.9,35.4,,0,0,,
7/31/12,116.7,0,0,50,40,59,27.5,25.1,34.4,35.4,,0,0,,
8/1/12,116.7,0,0,52,43,63,26.4,24.6,33.8,35.2,,0,0,,
8/2/12,116.7,0,0,51,46,61,25.7,23.6,33.4,35.2,,0,0,,
8/3/12,116.7,0,0,60,44,69,23.7,23,32.9,35,,0,0,,
8/4/12,116.7,0,0,68,61,78,22.5,21,32.1,34.8,,0,0,,
8/5/12,116.7,0,0,69,60,81,19.7,19,31,34.7,,0,0,,
8/6/12,116.7,0,0,65,58,76,18.2,17.3,30.4,34.4,,0,0,,
8/7/12,116.7,0,0,64,54,76,16.3,15.5,29.4,34.3,,0,0,,
8/8/12,116.7,0,0,52,48,58,14.8,14,28.5,34.1,,0,0,,
8/9/12,116.7,0,0,55,43,66,14,13,27.9,33.9,,0,0,,
8/10/12,116.7,0,0,53,43,63,11.8,12.4,28,33.7,,0,0,,
8/11/12,116.7,0,0,61,49,71,10.9,10.3,26.8,33.5,,0,0,,
8/12/12,116.7,0,0,66,60,77,9.7,9.5,25.9,33.3,,0,0,,
8/13/12,116.7,0,0,63,56,72,8.5,7.9,24.9,32.9,,0,0,,
8/14/12,116.7,0,0,57,,69,7.7,7.4,23.6,32.6,,0,0,,
8/15/12,116.7,0,0,64,52,74,7.7,5.9,22.3,32.3,,0,0,,
8/16/12,116.7,0,0,66,58,77,,,,31.9,,0,0,,
8/17/12,116.7,0,0,69,60,80,5.7,4.6,19.5,31.3,,0,0,,
8/18/12,116.7,0,0,69,58,76,6,3.8,18.7,30.7,,0,0,,
8/19/12,116.7,0,0,59,48,67,3.8,3.3,17.7,30.2,,0,0,,
8/20/12,116.7,0,0,55,44,66,5.3,2.8,17.5,29.7,,0,0,,
8/21/12,116.7,0,0,51,43,61,4.7,3.1,16.2,29.1,,0,0,,
8/22/12,116.7,0,0,46,42,55,4.5,3.5,15.2,28.5,,0,0,,
8/23/12,116.7,0,0,44,39,54,4,3.3,15,28.2,,0,0,,
8/24/12,116.7,0,0,47,37,58,3.5,3.2,14.8,27.8,,0,0,,
8/25/12,116.7,0,0,57,48,68,3.3,2.7,14.2,27.1,,0,0,,
8/26/12,116.7,0,0,57,47,68,3,2.5,13.6,26,,0,0,,
8/27/12,116.7,0,0,51,46,57,2.7,2.3,13.3,25.3,,0,0,,
8/28/12,116.7,0,0,49,42,58,2.6,2.5,13.2,24.6,,0,0,,
8/29/12,116.7,0,0,44,41,50,2.9,2.2,12.8,23.5,,0,0,,
8/30/12,116.7,0,0,48,39,61,2.5,2.4,12.7,23.3,,0,0,,
8/31/12,116.7,0,0,47,39,57,3.3,3,12.1,22.6,,0,0,,
9/1/12,116.7,0,0,45,37,57,2.6,3,12.2,21.6,,0,0,,
9/2/12,116.7,0,0,46,38,58,2.6,2.7,12.2,20.8,,0,0,,
9/3/12,116.7,0,0,49,42,59,1.6,2.5,11.7,19.7,,0,0,,
9/4/12,116.7,0,0,54,46,64,2.9,1.4,11.8,18.9,,0,0,,
9/5/12,116.7,0,0,57,50,67,3.2,2,11.5,18.2,,0,0,,
9/6/12,116.7,0,0,58,51,67,2.5,1.9,11,16.8,,0,0,,
9/7/12,116.7,0,0,62,55,72,2.7,2.1,11,16.1,,0,0,,
9/8/12,116.7,0,0,63,54,76,2.5,1.8,10.3,14.3,,0,0,,
9/9/12,116.7,0,0,46,43,54,2.4,0.8,10.2,12.6,,0,0,,
9/10/12,116.7,0,0,41,33,48,1.8,1.2,10.4,12.8,,0,0,,
9/11/12,116.7,0,0,42,33,53,2.4,2,9.9,12.3,,0,0,,
9/12/12,116.7,0.2,0.2,52,40,62,2,0.9,9.7,12.7,,0,0,0,
9/13/12,116.9,0,0,61,52,75,2.1,1.8,10.4,11.8,,0,0,,
9/14/12,116.9,0,0,61,52,70,2.8,1.7,10.2,11.4,,0,0,,
9/15/12,116.9,0,0,54,48,64,2.4,1.8,10,11.4,,0,0,,
9/16/12,116.9,0,0,57,46,67,2.3,1.4,9.9,10.4,,0,0,,
9/17/12,116.9,0,0,62,54,72,2.5,2,9.9,10.3,,0,0,,
9/18/12,116.9,0,0,62,56,73,2.5,1.1,9.7,10.1,,0,0,,
9/19/12,116.9,0,0,64,54,75,2.2,1.3,9.8,9.6,,0,0,,
9/20/12,116.9,0,0,68,60,78,2.1,1.3,9.7,9.7,,0,0,,
9/21/12,116.9,0,0,58,43,70,1.2,1.6,9.3,8.8,,0,0,,
9/22/12,116.9,0,0,43,40,54,1.6,0.6,9.1,8.5,,0,0,,
9/23/12,116.9,0,0,48,37,58,1.3,1.4,9.3,9,,0,0,,
9/24/12,116.9,0,0,52,46,62,1.4,0.8,9.2,8.8,,0,0,,
9/25/12,116.9,0,0,45,39,52,1.1,0.8,9.1,8.8,,0,0,,
9/26/12,116.9,0,0,53,41,61,1.5,0.6,9.2,8.8,,0,0,,
9/27/12,116.9,0,0,57,51,66,1.1,0.6,9,8.7,,0,0,,
9/28/12,116.9,0,0,54,47,62,1.7,0.5,9,8.4,,0,0,,
9/29/12,116.9,0,0,48,40,55,1.3,1.4,8.7,8.6,,0,0,,
9/30/12,116.9,0,0,49,38,59,1.7,1.7,8.6,8,,0,0,,
10/1/12,0,0,0,54,47,64,1.4,1.4,8.7,8.3,,0,0,,
10/2/12,0,0,0,42,35,47,0.9,1.3,8.7,8.1,,0,0,,
10/3/12,0,0,0,41,36,48,0.6,0.5,8.5,8.1,,0,0,,
10/4/12,0,0,0,42,38,50,0.8,0.9,8.7,7.9,,0,0,,
